"","Year","Quarter","Stafford_Subsidized_Dollars_Outstanding_(in billions)","Stafford_Subsidized_Recipients_(in millions)","Stafford_Unsubsidized_Dollars_Outstanding_(in billions)","Stafford_Unsubsidized_Recipients_(in millions)","Stafford_(Combined)_Dollars_Outstanding_(in billions)","Stafford_(Combined)_Unique_Recipients_(in millions)","Grad_PLUS_Dollars_Outstanding_(in billions)","Grad_PLUS_Recipients_(in millions)","Parent_PLUS_Dollars_Outstanding_(in billions)","Parent_PLUS_Recipients_(in millions)","Perkins_Dollars_Outstanding_(in billions)","Perkins_Recipients_(in millions)","Consolidation_Dollars_Outstanding_(in billions)","Consolidation_Recipients_(in millions)"
"35","2021","Q2",289.8,29.6,552.7,29.4,842.5,33.6,86.3,1.5,103.6,3.6,4.7,1.6,554.7,11.4
"36","2021","Q3",288.7,29.5,553.5,29.3,842.2,33.5,87.3,1.5,102.8,3.6,4.3,1.6,554.5,11.3
"37","2021","Q4",291.5,30,563.5,30,855,34.2,90.7,1.6,105.4,3.7,4.4,1.5,555.1,11.3
"38","2022","Q1",290.9,30.1,562.5,30.1,853.4,34.3,90.6,1.6,104.8,3.7,4.2,1.5,553.3,11.2
"39","2022","Q2",293.1,29.8,571.9,29.9,864.9,34,94,1.6,107.3,3.6,4.2,1.4,549.2,11
"40","2022","Q3",291.9,29.7,571.5,29.8,863.3,33.9,94.9,1.6,106.3,3.6,4,1.3,548.7,10.9
"41","2022","Q4",294.3,30.2,579.3,30.5,873.6,34.6,97.9,1.7,108.5,3.7,3.9,1.3,550.6,10.9
"42","2023","Q1",293,30.4,574.1,30.7,867.1,34.8,96.7,1.7,107.6,3.7,3.8,1.3,560.3,11
"43","2023","Q2",296.2,30.3,584.9,30.7,881.1,34.9,100.7,1.7,111.7,3.7,3.7,1.2,547.3,10.7
"44","2023","Q3",295.4,30.3,585.4,30.7,880.8,34.8,101.9,1.7,111.3,3.7,3.7,1.2,536.2,10.5
"45","2023","Q4",295.6,30.6,588.5,31.1,884.1,35.2,104,1.8,112.2,3.8,3.6,1.2,498.3,9.8
"46","2024","Q1",293.3,30.5,585.2,31,878.5,35.1,103.4,1.8,107.2,3.7,3.5,1.1,505.9,9.8
"47","2024","Q2",295.4,30.2,594.9,30.7,890.3,34.8,107.5,1.8,109.8,3.6,3.4,1.1,509.2,9.7
"48","2024","Q3",291.8,29.8,590.8,30.4,882.6,34.4,107.7,1.7,107.1,3.5,3.3,1.1,510.3,9.5
"49","2024","Q4",294.4,30.2,601.5,30.9,895.9,34.9,112.1,1.8,110.3,3.6,3.2,1,517.2,9.5
"50","2025","Q1",294.2,30.3,603.1,31,897.3,35.1,112.2,1.8,110,3.6,3.1,1,516.8,9.4
"51","2025","Q2",296.7,30.1,613.8,30.9,910.5,34.9,117.2,1.8,114.3,3.6,3,1,515.6,9.3
"52","2025","Q3",295.7,30,616.2,30.7,911.9,34.7,119.2,1.8,113.1,3.5,2.9,0.9,518.4,9.2
"53","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Notes: ","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1Totals may differ across portfolio reports due to rounding and the timing of the data runs.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2 Data is run at the end of the corresponding federal fiscal year or at the end of each quarter listed by federal fiscal year. Each federal fiscal year begins October 1 and ends September 30. Q1 ends 12/31, Q2 ends 3/31, Q3 ends 6/30, and Q4 ends 9/30.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3 Recipient is the student that benefits from the federal student loan. In most cases, the recipient is the borrower, but in parent PLUS loans, the parent is the borrower and their child is the recipient.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4  Recipient counts are based at the loan level. As a result, recipients may be counted multiple times across varying loan statuses. Stafford (Combined) is the total of Stafford Subsidized and Stafford Unsubsidized and includes a unique Stafford recipient count. ","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
