state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
wi,2021,118000,143000,172000,179000,196000,201000,215000,205000,217000,208000,203000,214000
wi,2022,229000,229000,226000,237000,218000,224000,204000,189000,202000,255000,260000,241000
wi,2023,221000,187000,193000,218000,170000,184000,196000,199000,202000,186000,198000,170000
wi,2024,169000,160000,157000,148000,152000,142000,141000,145000,130000,156000,134000,136000
wi,2025,153000,138000,148000,134000,142000,137000,140000,138000,,,,
pa,2018,265000,283000,306000,265000,285000,302000,292000,265000,287000,301000,291000,304000
pa,2019,299000,277000,284000,274000,309000,279000,248000,267000,262000,273000,278000,253000
pa,2020,276000,257000,215000,211000,208000,257000,263000,254000,263000,286000,262000,246000
pa,2021,275000,301000,353000,427000,441000,431000,470000,456000,438000,406000,406000,490000
pa,2022,504000,502000,492000,452000,496000,454000,432000,367000,373000,415000,439000,444000
pa,2023,403000,419000,399000,387000,343000,355000,344000,360000,376000,376000,362000,354000
pa,2024,355000,339000,307000,322000,324000,308000,291000,295000,285000,224000,272000,249000
pa,2025,284000,279000,279000,291000,272000,245000,262000,225000,,,,
me,2018,37000,28000,32000,43000,32000,33000,34000,30000,33000,33000,33000,31000
me,2019,33000,31000,31000,30000,33000,32000,28000,31000,32000,32000,29000,31000
me,2020,32000,32000,25000,22000,22000,23000,23000,26000,33000,29000,28000,28000
me,2021,35000,34000,37000,43000,44000,44000,52000,49000,43000,41000,46000,48000
me,2022,46000,49000,49000,49000,48000,51000,48000,42000,46000,44000,44000,44000
me,2023,41000,48000,45000,51000,39000,37000,41000,41000,43000,51000,41000,41000
me,2024,45000,36000,35000,35000,42000,35000,31000,34000,32000,33000,32000,27000
me,2025,37000,34000,29000,36000,39000,39000,33000,32000,,,,
ia,2018,74000,71000,76000,71000,83000,83000,80000,82000,82000,80000,79000,82000
ia,2019,74000,76000,78000,81000,77000,79000,74000,71000,75000,76000,73000,68000
ia,2020,76000,74000,57000,46000,55000,61000,72000,63000,68000,72000,69000,67000
ia,2021,77000,80000,89000,89000,98000,96000,108000,105000,109000,108000,117000,126000
ia,2022,112000,121000,120000,116000,113000,118000,108000,103000,120000,118000,110000,114000
ia,2023,102000,92000,90000,96000,98000,86000,81000,88000,80000,77000,84000,81000
ia,2024,80000,84000,72000,63000,69000,69000,74000,76000,67000,71000,66000,69000
ia,2025,76000,75000,71000,67000,70000,71000,74000,73000,,,,
ks,2018,74000,70000,75000,76000,87000,84000,76000,78000,85000,83000,86000,82000
ks,2019,75000,77000,76000,83000,70000,73000,72000,74000,69000,68000,66000,60000
ks,2020,66000,70000,56000,52000,58000,58000,62000,64000,61000,68000,64000,67000
ks,2021,65000,66000,88000,77000,89000,85000,90000,85000,90000,105000,101000,101000
ks,2022,95000,106000,96000,109000,103000,105000,116000,96000,102000,88000,89000,104000
ks,2023,86000,86000,85000,86000,86000,84000,73000,81000,80000,68000,80000,76000
ks,2024,79000,76000,73000,69000,70000,68000,66000,74000,68000,73000,72000,73000
ks,2025,75000,72000,76000,73000,73000,69000,69000,67000,,,,
wy,2018,15000,13000,15000,15000,15000,15000,15000,18000,17000,17000,18000,16000
wy,2019,18000,17000,16000,17000,17000,18000,17000,16000,18000,17000,17000,18000
wy,2020,17000,17000,16000,13000,7000,7000,11000,13000,14000,15000,14000,16000
