state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
Utah,UT,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,457635,197921,259714,4032,1554,2478,13314,6076,7238,21002,8192,12810,55689,23139,32550,3134,1436,1698,310695,135764,174931,15077,6783,8294,28169,11302,16867,6523,3675,2848,5734,3,5737.0,0
Utah,UT,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,483384,213236,270148,3865,1521,2344,14649,6999,7650,25820,10547,15273,63150,27277,35873,3231,1486,1745,316383,139442,176941,16745,7644,9101,25554,10931,14623,13987,7389,6598,7300,5,0020001211663702758411610200.0370..0003511200000020040000000000.010000.0,469809
Utah,UT,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,525894,236873,289021,4052,1629,2423,17158,8494,8664,34559,14325,20234,73194,32421,40773,3422,1598,1824,332630,148803,183827,20318,9469,10849,32803,15773,17030,7758,4361,3397,10989,0,005000041205490249505.05410.005200.001651600000200.00000000...000000.00,498052
Vermont,VT,2020,1,Undergraduate totalAll students total,UndergraduateAll students total,46013,20879,25134,148,72,76,1273,560,713,1494,788,706,2477,1259,1218,31,12,19,34770,15424,19346,1740,717,1023,2393,1169,1224,1687,878,809,0,0,0,0
Vermont,VT,2021,1,Undergraduate totalAll students total,UndergraduateAll students total,43966,19286,24680,132,60,72,1288,549,739,1460,738,722,2504,1189,1315,28,13,15,33212,14280,18932,1687,679,1008,2335,1113,1222,1320,665,655,0,0,0,0
Vermont,VT,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,45715,19687,26028,125,44,81,1426,605,821,1548,735,813,2681,1198,1483,29,9,20,34284,14533,19751,1820,738,1082,2355,1117,1238,1447,708,739,128,0,128.0,0
Vermont,VT,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,45499,19468,26031,147,60,87,1555,662,893,1615,777,838,2799,1252,1547,28,9,19,34028,14195,19833,1848,775,1073,2082,1058,1024,1397,680,717,188,22,.002826220.195.9400,43428
Vermont,VT,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,45570,19415,26155,129,56,73,1552,647,905,1620,800,820,3023,1338,1685,24,9,15,33704,14068,19636,1898,839,1059,2236,1018,1218,1384,640,744,804,22,0.2824..04584.26600,37135
Virgin Islands,VI,2020,0,Undergraduate total,Undergraduate,2177,686,1491,5,2,3,16,4,12,1479,449,1030,249,73,176,3,0,3,113,43,70,25,12,13,172,68,104,115,35,80,0,0,0,0
Virgin Islands,VI,2021,0,Undergraduate total,Undergraduate,1880,579,1301,3,1,2,14,4,10,1320,382,938,244,81,163,4,0,4,71,34,37,25,13,12,93,32,61,106,32,74,0,0,0,0
Virgin Islands,VI,2022,0,Undergraduate total,Undergraduate,1666,470,1196,2,0,2,8,4,4,1126,301,825,201,54,147,8,3,5,101,35,66,29,20,9,100,33,67,91,20,71,0,0,0.0,0
Virgin Islands,VI,2023,0,Undergraduate total,Undergraduate,1702,479,1223,1,0,1,16,6,10,1138,299,839,224,63,161,7,2,5,97,31,66,42,21,21,78,30,48,99,27,72,0,0,0,1702
Virgin Islands,VI,2024,0,Undergraduate total,Undergraduate,1778,549,1229,1,0,1,17,6,11,1175,363,812,254,73,181,8,2,6,104,33,71,55,26,29,34,10,24,130,36,94,0,0,0,1778
Virginia,VA,2020,1,Undergraduate totalAll students total,UndergraduateAll students total,576274,247222,329052,1836,773,1063,39726,18946,20780,110334,40250,70084,56449,23793,32656,1316,617,699,294727,130057,164670,25882,10653,15229,32166,14515,17651,13838,7618,6220,0,0,0,0
Virginia,VA,2021,1,Undergraduate totalAll students total,UndergraduateAll students total,563529,237212,326317,1744,719,1025,41335,19175,22160,109717,38964,70753,52588,21350,31238,1263,583,680,285084,124236,160848,26987,11009,15978,33549,15070,18479,11262,6106,5156,0,0,0,0
Virginia,VA,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,543148,231331,311817,1745,746,999,40813,19365,21448,105833,38210,67623,55924,23284,32640,1164,520,644,269093,117832,151261,26379,10844,15535,31283,14816,16467,10914,5714,5200,2704,555,3259.0,0
Virginia,VA,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,549117,238683,310434,1624,702,922,42274,20266,22008,102754,37741,65013,59950,25599,34351,1115,516,599,267423,119138,148285,27357,11626,15731,33843,16479,17364,12777,6616,6161,3556,958,006100501600000720.0.610700037040200.0.0.731033.0.000..10.00072704110000277025183301014119313394020602100516151111040000321301814052414501107000000.0.000000000000000000000000000,492754
Virginia,VA,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,559639,245063,314576,1607,696,911,44016,21282,22734,105898,39069,66829,64647,27870,36777,1063,515,548,265146,119224,145922,28401,12087,16314,34791,17104,17687,14070,7216,6854,5339,1373,0016900239.0000086316500750400052200..00..1090168751367.0642255.159.0.0008810200.00.1000632736.1119425319814802887.13623122.169059051.3813022750923169020.7000.000000.0000000001000000000000,518297
Washington,WA,2020,1,Undergraduate totalAll students total,UndergraduateAll students total,437327,193383,243944,4160,1565,2595,39417,17467,21950,19912,8894,11018,59913,23950,35963,2665,1090,1575,209073,91458,117615,32930,13974,18956,48619,23883,24736,20638,11102,9536,0,0,0,0
Washington,WA,2021,1,Undergraduate totalAll students total,UndergraduateAll students total,399625,171929,227696,3459,1220,2239,38799,16855,21944,18735,8043,10692,57333,21681,35652,2520,985,1535,190506,81498,109008,31206,12697,18509,40246,20063,20183,16821,8887,7934,0,0,0,0
Washington,WA,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,376862,162838,214024,3334,1126,2208,39429,17220,22209,19229,8271,10958,56760,21868,34892,2476,962,1514,176915,76352,100563,27857,11545,16312,35646,17478,18168,15216,8016,7200,6436,217,6653.0,0
Washington,WA,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,377210,167976,209234,3538,1213,2325,40570,17982,22588,20635,9008,11627,60521,23742,36779,2437,975,1462,171891,75857,96034,28217,11934,16283,33718,19158,14560,15683,8107,7576,19205,1338,1117971122093762768812121164103701823.5604012932504401522270201721135499519001961167062600481800382193736967525200415327810839610..0440329000000000000701100190110050000.0000001,349397
Washington,WA,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,396764,178849,217915,3405,1163,2242,42195,19002,23193,21191,9357,11834,66280,26313,39967,1965,766,1199,166555,73471,93084,29753,12714,17039,49788,27970,21818,15632,8093,7539,28288,1699,18611701532663055284822846947.127315450754511615850476045441122481206681143260293268166740060111036262052490676446007776357248447001592802290506000000000001002800.02300800000000002,353308
West Virginia,WV,2020,1,Undergraduate totalAll students total,UndergraduateAll students total,173958,90135,83823,826,429,397,2846,1595,1251,17896,9804,8092,14453,8636,5817,901,539,362,117056,57444,59612,6288,3223,3065,9978,6000,3978,3714,2465,1249,0,0,0,0
West Virginia,WV,2021,1,Undergraduate totalAll students total,UndergraduateAll students total,170332,88462,81870,817,425,392,3172,1772,1400,18280,9953,8327,16330,9744,6586,998,633,365,111188,54496,56692,6645,3428,3217,10025,6185,3840,2877,1826,1051,0,0,0,0
West Virginia,WV,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,164374,85998,78376,806,429,377,3211,1877,1334,18231,9998,8233,16843,9984,6859,904,537,367,105874,52502,53372,6762,3415,3347,8893,5580,3313,2850,1676,1174,3827,0,3827.0,0
West Virginia,WV,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,166930,87380,79550,824,409,415,3407,1998,1409,18723,10100,8623,18208,10753,7455,907,528,379,105897,52801,53096,7017,3588,3429,9334,5750,3584,2613,1453,1160,3466,0,0400.0000000.0000000003423.500000000000000.0000000000000000000.0007.00,155211
West Virginia,WV,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,169041,87890,81151,774,378,396,3384,1986,1398,19730,10334,9396,19129,11203,7926,914,517,397,104073,51382,52691,7368,3801,3567,11222,6895,4327,2447,1394,1053,4467,16,0220106600000000.00.0.00003354173000000000000000000000000000000000000021000,158323
Wisconsin,WI,2020,1,Undergraduate totalAll students total,UndergraduateAll students total,368702,161008,207694,3187,1198,1989,14809,6412,8397,21519,7538,13981,30090,12383,17707,388,169,219,268354,118299,150055,10884,4451,6433,9993,5294,4699,9478,5264,4214,0,0,0,0
Wisconsin,WI,2021,1,Undergraduate totalAll students total,UndergraduateAll students total,352616,150205,202411,2810,980,1830,14767,6305,8462,19814,6406,13408,29847,11763,18084,318,130,188,255726,110116,145610,10777,4289,6488,11071,5868,5203,7486,4348,3138,0,0,0,0
Wisconsin,WI,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,354810,153631,201179,3036,1105,1931,14983,6459,8524,20518,7011,13507,31869,12749,19120,318,145,173,251258,109680,141578,11671,4773,6898,12743,6833,5910,8414,4876,3538,1749,24,1773.0,0
Wisconsin,WI,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,357919,157745,200174,3260,1264,1996,15599,6992,8607,21421,7430,13991,34012,13764,20248,352,170,182,246739,109473,137266,12183,5001,7182,15629,8548,7081,8724,5103,3621,2308,243,264090.3000..003747177..240280000000000000000.0000000000059617.0.57420250.000740.16000.00000000000000,327160
Wisconsin,WI,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,363235,160400,202835,3198,1294,1904,16388,7473,8915,23913,8379,15534,37273,15132,22141,366,153,213,246023,109445,136578,12736,5187,7549,14067,7965,6102,9271,5372,3899,2299,356,.3394031.0.55.02350216..360420....0..........00.002..000059417.0.385241622501015660222600000000.00000000,185637
Wyoming,WY,2020,1,Undergraduate totalAll students total,UndergraduateAll students total,38936,18179,20757,604,260,344,311,115,196,460,296,164,3640,1630,2010,67,30,37,29426,13707,15719,1141,495,646,2692,1299,1393,595,347,248,0,0,0,0
Wyoming,WY,2021,1,Undergraduate totalAll students total,UndergraduateAll students total,37012,17220,19792,565,224,341,328,128,200,449,285,164,3547,1539,2008,68,38,30,27961,13057,14904,1079,484,595,2529,1180,1349,486,285,201,0,0,0,0
Wyoming,WY,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,35637,16502,19135,534,222,312,330,124,206,411,249,162,3636,1646,1990,68,35,33,26602,12256,14346,1121,502,619,2470,1217,1253,465,251,214,14,0,14.0,0
Wyoming,WY,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,34378,15605,18773,521,206,315,307,115,192,372,225,147,3945,1781,2164,57,36,21,25365,11396,13969,1170,523,647,2202,1065,1137,439,258,181,14,0,1..0200000,27309
Wyoming,WY,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,34569,15410,19159,567,215,352,300,128,172,386,235,151,4265,1892,2373,76,54,22,25103,11042,14061,1219,550,669,2184,1045,1139,469,249,220,84,0,1.1306109000,28804
