Award Level and Institution Type,State,Region,Major Field Family (2-digit CIP),Major Field Family (2-digit CIP) Title,2020 Enrollment,2021 Enrollment,2021 % Change from Previous Year,2022 Enrollment,2022 % Change from Previous Year,2023 Enrollment,2023 % Change from Previous Year,2024 Enrollment,2024 % Change from Previous Year,2025 Enrollment,2025 % Change from Previous Year
Undergraduate 4-year,Alabama,South,CIP Missing,CIP Missing,2865,2315,-19.2,2494,7.7,3608,44.7,3926,8.8,4036,2.8
Undergraduate 4-year,Alabama,South,01,Agriculture Agriculture Operations and Related Sciences,1445,1445,0.0,1420,-1.7,1436,1.1,1562,8.8,1594,2.0
Undergraduate 4-year,Alabama,South,03,Natural Resources and Conservation,846,792,-6.4,872,10.1,838,-3.9,843,0.6,889,5.5
Undergraduate 4-year,Alabama,South,04,Architecture and Related Services,660,644,-2.4,716,11.2,773,8.1,833,7.7,914,9.7
Undergraduate 4-year,Alabama,South,05,Area Ethnic Cultural and Gender Studies,,,,,,,,,,,
Undergraduate 4-year,Alabama,South,09,Communication Journalism and Related Programs,6205,5664,-8.7,5371,-5.2,5173,-3.7,5140,-0.6,5257,2.3
Undergraduate 4-year,Alabama,South,10,Communications Technologies/Technicians and Support Services,,,,,,,,,,,
Undergraduate 4-year,Alabama,South,11,Computer and Information Sciences and Support Services,5453,5338,-2.1,5462,2.3,5500,0.7,5788,5.2,5748,-0.7
Undergraduate 4-year,Alabama,South,12,Personal and Culinary Services,,,,0,,0,,,,,
Undergraduate 4-year,Alabama,South,13,Education,9922,9196,-7.3,8588,-6.6,8823,2.7,7701,-12.7,8062,4.7
Undergraduate 4-year,Alabama,South,14,Engineering,14403,13679,-5.0,12692,-7.2,12394,-2.3,12865,3.8,13787,7.2
Undergraduate 4-year,Alabama,South,15,Engineering Technologies/Technicians,599,584,-2.4,628,7.5,698,11.2,765,9.6,906,18.3
Undergraduate 4-year,Alabama,South,16,Foreign Languages Literatures and Linguistics,584,579,-0.9,618,6.7,525,-15.0,506,-3.6,520,2.7
Undergraduate 4-year,Alabama,South,19,Family and Consumer Sciences/Human Sciences,3298,3018,-8.5,2825,-6.4,2548,-9.8,2584,1.4,2615,1.2
Undergraduate 4-year,Alabama,South,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,22,Legal Professions and Studies,195,266,36.0,331,24.5,362,9.4,338,-6.6,364,7.5
Undergraduate 4-year,Alabama,South,23,English Language and Literature/Letters,1754,1689,-3.7,1613,-4.5,1421,-11.9,1344,-5.4,1304,-3.0
Undergraduate 4-year,Alabama,South,24,Liberal Arts and Sciences General Studies and Humanities,6503,5711,-12.2,5036,-11.8,4669,-7.3,4446,-4.8,4149,-6.7
Undergraduate 4-year,Alabama,South,25,Library Science,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,26,Biological and Biomedical Sciences,10804,10587,-2.0,10121,-4.4,9850,-2.7,10265,4.2,11033,7.5
Undergraduate 4-year,Alabama,South,27,Mathematics and Statistics,1184,1108,-6.4,1051,-5.2,909,-13.5,902,-0.8,958,6.3
Undergraduate 4-year,Alabama,South,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,29,Military Technologies,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,30,Multi/Interdisciplinary Studies,3350,3345,-0.1,3767,12.6,4576,21.5,4770,4.2,5181,8.6
Undergraduate 4-year,Alabama,South,31,Parks Recreation Leisure and Fitness Studies,3024,3172,4.9,2978,-6.1,2972,-0.2,3679,23.8,4091,11.2
Undergraduate 4-year,Alabama,South,32,Basic Skills,0,0,,0,,0,,,,0,
Undergraduate 4-year,Alabama,South,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,34,Health-Related Knowledge and Skills,,,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,36,Leisure and Recreational Activities,,,,,,,,,,,
Undergraduate 4-year,Alabama,South,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,38,Philosophy and Religious Studies,357,311,-12.9,312,0.1,273,-12.4,281,2.9,296,5.3
Undergraduate 4-year,Alabama,South,39,Theology and Religious Vocations,283,297,4.9,297,0.1,227,-23.7,239,5.3,261,9.3
Undergraduate 4-year,Alabama,South,40,Physical Sciences,1950,1815,-6.9,1728,-4.8,1544,-10.7,1434,-7.1,1430,-0.3
Undergraduate 4-year,Alabama,South,41,Science Technologies/Technicians,0,0,,0,,0,,,,0,
Undergraduate 4-year,Alabama,South,42,Psychology,6447,6756,4.8,6876,1.8,6767,-1.6,6487,-4.1,6643,2.4
Undergraduate 4-year,Alabama,South,43,Security and Protective Services,3478,3446,-0.9,3150,-8.6,2975,-5.5,2662,-10.5,3064,15.1
Undergraduate 4-year,Alabama,South,44,Public Administration and Social Service Professions,2869,2682,-6.5,2358,-12.1,2011,-14.7,1852,-7.9,1924,3.9
Undergraduate 4-year,Alabama,South,45,Social Sciences,4667,4696,0.6,5350,13.9,4992,-6.7,4792,-4.0,4721,-1.5
Undergraduate 4-year,Alabama,South,46,Construction Trades,,,,,,,,,,,
Undergraduate 4-year,Alabama,South,47,Mechanic and Repair Technologies/Technicians,,,,,,,,,,,
Undergraduate 4-year,Alabama,South,48,Precision Production,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,49,Transportation and Materials Moving,,,,,,676,,,,969,
Undergraduate 4-year,Alabama,South,50,Visual and Performing Arts,5146,5020,-2.5,5019,-0.0,5040,0.4,4809,-4.6,5226,8.7
Undergraduate 4-year,Alabama,South,51,Health Professions and Related Clinical Sciences,15792,15339,-2.9,14793,-3.6,14008,-5.3,14583,4.1,15714,7.8
Undergraduate 4-year,Alabama,South,52,Business Management Marketing and Related Support,29707,28933,-2.6,29215,1.0,29122,-0.3,29652,1.8,30962,4.4
Undergraduate 4-year,Alabama,South,53,High School/Secondary Diplomas and Certificates,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,54,History,1263,1301,3.0,1327,2.0,1127,-15.1,1108,-1.7,1146,3.5
Undergraduate 4-year,Alaska,West,CIP Missing,CIP Missing,4003,5268,31.6,5217,-1.0,5418,3.9,6030,11.3,4820,-20.1
Undergraduate 4-year,Alaska,West,01,Agriculture Agriculture Operations and Related Sciences,,,,,,,,,,,
Undergraduate 4-year,Alaska,West,03,Natural Resources and Conservation,279,266,-4.6,242,-9.1,246,1.9,296,20.3,352,19.0
Undergraduate 4-year,Alaska,West,04,Architecture and Related Services,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,05,Area Ethnic Cultural and Gender Studies,,,,,,,,,,,
Undergraduate 4-year,Alaska,West,09,Communication Journalism and Related Programs,114,102,-11.0,,,,,120,,128,7.1
Undergraduate 4-year,Alaska,West,10,Communications Technologies/Technicians and Support Services,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,11,Computer and Information Sciences and Support Services,452,389,-13.8,423,8.6,454,7.5,482,6.0,486,0.9
Undergraduate 4-year,Alaska,West,12,Personal and Culinary Services,,,,,,,,,,,
Undergraduate 4-year,Alaska,West,13,Education,471,435,-7.6,428,-1.8,450,5.3,409,-9.2,428,4.7
Undergraduate 4-year,Alaska,West,14,Engineering,,886,,,,705,,,,763,
Undergraduate 4-year,Alaska,West,15,Engineering Technologies/Technicians,379,284,-24.9,233,-17.9,224,-4.2,230,2.6,243,6.0
Undergraduate 4-year,Alaska,West,16,Foreign Languages Literatures and Linguistics,153,143,-6.9,153,7.3,133,-13.0,128,-3.9,140,9.0
Undergraduate 4-year,Alaska,West,19,Family and Consumer Sciences/Human Sciences,,,,119,,,,,,110,
Undergraduate 4-year,Alaska,West,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,22,Legal Professions and Studies,172,143,-16.9,137,-4.2,,,,,,
Undergraduate 4-year,Alaska,West,23,English Language and Literature/Letters,203,163,-19.5,149,-8.7,165,10.8,183,11.1,188,2.5
Undergraduate 4-year,Alaska,West,24,Liberal Arts and Sciences General Studies and Humanities,1589,1332,-16.2,1205,-9.5,1187,-1.5,1170,-1.4,1110,-5.1
Undergraduate 4-year,Alaska,West,25,Library Science,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,26,Biological and Biomedical Sciences,654,610,-6.8,617,1.1,591,-4.2,620,4.9,624,0.7
Undergraduate 4-year,Alaska,West,27,Mathematics and Statistics,,,,,,,,,,,
Undergraduate 4-year,Alaska,West,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,29,Military Technologies,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,30,Multi/Interdisciplinary Studies,523,472,-9.6,423,-10.5,408,-3.4,393,-3.6,442,12.2
Undergraduate 4-year,Alaska,West,31,Parks Recreation Leisure and Fitness Studies,157,149,-5.4,152,2.2,145,-5.0,155,7.0,148,-4.4
Undergraduate 4-year,Alaska,West,32,Basic Skills,0,0,,,,,,0,,0,
Undergraduate 4-year,Alaska,West,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,34,Health-Related Knowledge and Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,36,Leisure and Recreational Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,38,Philosophy and Religious Studies,,,,,,,,,,,
Undergraduate 4-year,Alaska,West,39,Theology and Religious Vocations,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,40,Physical Sciences,206,186,-9.7,,,,,,,,
Undergraduate 4-year,Alaska,West,41,Science Technologies/Technicians,,,,,,,,,,,
Undergraduate 4-year,Alaska,West,42,Psychology,587,585,-0.4,557,-4.8,586,5.1,579,-1.2,587,1.5
Undergraduate 4-year,Alaska,West,43,Security and Protective Services,433,405,-6.6,396,-2.2,429,8.3,408,-4.9,448,9.8
Undergraduate 4-year,Alaska,West,44,Public Administration and Social Service Professions,278,278,0.2,270,-2.8,241,-10.9,249,3.3,269,8.1
Undergraduate 4-year,Alaska,West,45,Social Sciences,400,360,-10.0,289,-19.8,301,4.0,281,-6.6,291,3.5
Undergraduate 4-year,Alaska,West,46,Construction Trades,,,,,,,,,,,
Undergraduate 4-year,Alaska,West,47,Mechanic and Repair Technologies/Technicians,241,213,-11.7,215,1.1,223,3.6,231,3.6,259,12.3
Undergraduate 4-year,Alaska,West,48,Precision Production,106,,,,,,,,,,
Undergraduate 4-year,Alaska,West,49,Transportation and Materials Moving,298,231,-22.6,245,5.9,215,-12.0,262,21.8,306,16.7
Undergraduate 4-year,Alaska,West,50,Visual and Performing Arts,389,308,-20.8,277,-10.2,294,6.4,327,11.0,354,8.4
Undergraduate 4-year,Alaska,West,51,Health Professions and Related Clinical Sciences,3199,3011,-5.9,2697,-10.5,2568,-4.8,2523,-1.8,2714,7.6
Undergraduate 4-year,Alaska,West,52,Business Management Marketing and Related Support,2223,1953,-12.2,1797,-8.0,1733,-3.5,1722,-0.6,1755,1.9
Undergraduate 4-year,Alaska,West,53,High School/Secondary Diplomas and Certificates,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alaska,West,54,History,,,,,,,,,,,
Undergraduate 4-year,Arizona,West,CIP Missing,CIP Missing,3553,4784,34.6,5033,5.2,4849,-3.6,4791,-1.2,5024,4.9
Undergraduate 4-year,Arizona,West,01,Agriculture Agriculture Operations and Related Sciences,,915,,962,5.2,969,0.7,994,2.5,1015,2.1
Undergraduate 4-year,Arizona,West,03,Natural Resources and Conservation,2099,2405,14.6,2416,0.5,2447,1.3,2397,-2.1,2092,-12.7
Undergraduate 4-year,Arizona,West,04,Architecture and Related Services,,,,,,,,,,,
Undergraduate 4-year,Arizona,West,05,Area Ethnic Cultural and Gender Studies,494,621,25.8,644,3.6,581,-9.8,538,-7.3,494,-8.2
Undergraduate 4-year,Arizona,West,09,Communication Journalism and Related Programs,9033,9186,1.7,8868,-3.5,8826,-0.5,8737,-1.0,8372,-4.2
Undergraduate 4-year,Arizona,West,10,Communications Technologies/Technicians and Support Services,,,,401,,399,-0.5,420,5.3,447,6.3
Undergraduate 4-year,Arizona,West,11,Computer and Information Sciences and Support Services,10801,11520,6.7,12159,5.6,13204,8.6,15302,15.9,15723,2.8
Undergraduate 4-year,Arizona,West,12,Personal and Culinary Services,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,13,Education,18355,19150,4.3,19591,2.3,19672,0.4,20361,3.5,22682,11.4
Undergraduate 4-year,Arizona,West,14,Engineering,15244,14968,-1.8,15254,1.9,16161,5.9,16872,4.4,18261,8.2
Undergraduate 4-year,Arizona,West,15,Engineering Technologies/Technicians,1245,1304,4.7,1503,15.3,1480,-1.5,1549,4.7,1564,1.0
Undergraduate 4-year,Arizona,West,16,Foreign Languages Literatures and Linguistics,1046,1507,44.0,1470,-2.5,1063,-27.7,970,-8.7,984,1.4
Undergraduate 4-year,Arizona,West,19,Family and Consumer Sciences/Human Sciences,2569,2419,-5.8,2073,-14.3,1926,-7.1,1743,-9.5,1879,7.8
Undergraduate 4-year,Arizona,West,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,22,Legal Professions and Studies,1429,1617,13.2,1448,-10.5,1438,-0.7,,,1616,
Undergraduate 4-year,Arizona,West,23,English Language and Literature/Letters,2833,2818,-0.5,2813,-0.2,2844,1.1,2915,2.5,2853,-2.1
Undergraduate 4-year,Arizona,West,24,Liberal Arts and Sciences General Studies and Humanities,3828,3471,-9.3,3838,10.6,3895,1.5,3860,-0.9,2894,-25.0
Undergraduate 4-year,Arizona,West,25,Library Science,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,26,Biological and Biomedical Sciences,15452,16243,5.1,17752,9.3,18325,3.2,18855,2.9,21241,12.6
Undergraduate 4-year,Arizona,West,27,Mathematics and Statistics,1249,1159,-7.2,1121,-3.3,1014,-9.5,978,-3.5,822,-16.0
Undergraduate 4-year,Arizona,West,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,29,Military Technologies,,,,,,,,,,,
Undergraduate 4-year,Arizona,West,30,Multi/Interdisciplinary Studies,6241,6311,1.1,6746,6.9,7215,7.0,7216,0.0,7666,6.2
Undergraduate 4-year,Arizona,West,31,Parks Recreation Leisure and Fitness Studies,3944,3950,0.2,3781,-4.3,3622,-4.2,3506,-3.2,2721,-22.4
Undergraduate 4-year,Arizona,West,32,Basic Skills,,0,,0,,,,0,,,
Undergraduate 4-year,Arizona,West,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,34,Health-Related Knowledge and Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,36,Leisure and Recreational Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,38,Philosophy and Religious Studies,780,797,2.2,828,3.9,783,-5.4,746,-4.7,766,2.7
Undergraduate 4-year,Arizona,West,39,Theology and Religious Vocations,,,,,,,,,,,
Undergraduate 4-year,Arizona,West,40,Physical Sciences,2521,2590,2.8,2894,11.7,3326,14.9,3772,13.4,4364,15.7
Undergraduate 4-year,Arizona,West,41,Science Technologies/Technicians,1119,816,-27.1,682,-16.5,750,10.0,804,7.3,796,-1.0
Undergraduate 4-year,Arizona,West,42,Psychology,10105,11469,13.5,12446,8.5,12767,2.6,13263,3.9,13371,0.8
Undergraduate 4-year,Arizona,West,43,Security and Protective Services,5849,5902,0.9,5698,-3.5,5486,-3.7,5611,2.3,5922,5.6
Undergraduate 4-year,Arizona,West,44,Public Administration and Social Service Professions,9084,9890,8.9,10163,2.8,10082,-0.8,11271,11.8,13314,18.1
Undergraduate 4-year,Arizona,West,45,Social Sciences,9232,8974,-2.8,8633,-3.8,8468,-1.9,8108,-4.3,8276,2.1
Undergraduate 4-year,Arizona,West,46,Construction Trades,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,47,Mechanic and Repair Technologies/Technicians,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,48,Precision Production,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,49,Transportation and Materials Moving,,,,,,,,,,,
Undergraduate 4-year,Arizona,West,50,Visual and Performing Arts,7875,8368,6.3,9475,13.2,10600,11.9,11257,6.2,11267,0.1
Undergraduate 4-year,Arizona,West,51,Health Professions and Related Clinical Sciences,29149,31810,9.1,35051,10.2,31791,-9.3,34171,7.5,35324,3.4
Undergraduate 4-year,Arizona,West,52,Business Management Marketing and Related Support,39951,40865,2.3,43744,7.0,46578,6.5,50161,7.7,53686,7.0
Undergraduate 4-year,Arizona,West,53,High School/Secondary Diplomas and Certificates,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arizona,West,54,History,2334,2422,3.8,2585,6.7,2587,0.1,2627,1.6,2631,0.1
Undergraduate 4-year,Arkansas,South,CIP Missing,CIP Missing,2046,1678,-18.0,1657,-1.2,1732,4.5,1817,4.9,1519,-16.4
Undergraduate 4-year,Arkansas,South,01,Agriculture Agriculture Operations and Related Sciences,1632,1752,7.3,1504,-14.1,1550,3.0,1843,18.9,1840,-0.2
Undergraduate 4-year,Arkansas,South,03,Natural Resources and Conservation,526,496,-5.7,488,-1.5,528,8.2,581,10.0,454,-21.9
Undergraduate 4-year,Arkansas,South,04,Architecture and Related Services,,,,,,,,,,,
Undergraduate 4-year,Arkansas,South,05,Area Ethnic Cultural and Gender Studies,,,,,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,09,Communication Journalism and Related Programs,2928,2745,-6.2,2647,-3.6,2694,1.8,2987,10.8,3059,2.4
Undergraduate 4-year,Arkansas,South,10,Communications Technologies/Technicians and Support Services,,,,,,,,,,,
Undergraduate 4-year,Arkansas,South,11,Computer and Information Sciences and Support Services,2557,2569,0.5,2359,-8.2,2292,-2.8,2552,11.3,2487,-2.5
Undergraduate 4-year,Arkansas,South,12,Personal and Culinary Services,,,,,,,,,,,
Undergraduate 4-year,Arkansas,South,13,Education,5464,5479,0.3,5271,-3.8,5026,-4.7,5259,4.6,5096,-3.1
Undergraduate 4-year,Arkansas,South,14,Engineering,3909,3720,-4.8,3430,-7.8,3457,0.8,3703,7.1,4031,8.9
Undergraduate 4-year,Arkansas,South,15,Engineering Technologies/Technicians,585,563,-3.9,579,2.9,585,1.0,610,4.3,592,-3.0
Undergraduate 4-year,Arkansas,South,16,Foreign Languages Literatures and Linguistics,488,479,-1.7,395,-17.7,341,-13.7,364,6.8,365,0.2
Undergraduate 4-year,Arkansas,South,19,Family and Consumer Sciences/Human Sciences,1228,1166,-5.1,1186,1.7,1146,-3.4,1206,5.3,1263,4.7
Undergraduate 4-year,Arkansas,South,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,22,Legal Professions and Studies,,,,,,,,,,,
Undergraduate 4-year,Arkansas,South,23,English Language and Literature/Letters,1139,998,-12.4,939,-5.9,846,-9.9,883,4.4,816,-7.6
Undergraduate 4-year,Arkansas,South,24,Liberal Arts and Sciences General Studies and Humanities,8703,8103,-6.9,5600,-30.9,5305,-5.3,5387,1.6,5535,2.7
Undergraduate 4-year,Arkansas,South,25,Library Science,,,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,26,Biological and Biomedical Sciences,4113,3633,-11.7,3199,-11.9,3158,-1.3,4114,30.3,4347,5.7
Undergraduate 4-year,Arkansas,South,27,Mathematics and Statistics,537,493,-8.2,399,-19.1,367,-8.0,373,1.6,389,4.4
Undergraduate 4-year,Arkansas,South,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,29,Military Technologies,,0,,,,,,,,,
Undergraduate 4-year,Arkansas,South,30,Multi/Interdisciplinary Studies,972,1263,29.9,843,-33.2,727,-13.7,1326,82.3,1330,0.3
Undergraduate 4-year,Arkansas,South,31,Parks Recreation Leisure and Fitness Studies,2844,2880,1.3,2514,-12.7,2834,12.7,2470,-12.8,2362,-4.4
Undergraduate 4-year,Arkansas,South,32,Basic Skills,,,,,,,,,,,
Undergraduate 4-year,Arkansas,South,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,34,Health-Related Knowledge and Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,36,Leisure and Recreational Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,37,Personal Awareness and Self-Improvement,,,,,,,,,,0,
Undergraduate 4-year,Arkansas,South,38,Philosophy and Religious Studies,151,152,0.5,155,2.2,169,9.0,208,22.9,202,-2.7
Undergraduate 4-year,Arkansas,South,39,Theology and Religious Vocations,394,389,-1.2,351,-9.9,332,-5.2,327,-1.6,402,22.8
Undergraduate 4-year,Arkansas,South,40,Physical Sciences,1273,1209,-5.0,975,-19.4,881,-9.6,1027,16.5,968,-5.7
Undergraduate 4-year,Arkansas,South,41,Science Technologies/Technicians,0,0,,0,,0,,,,,
Undergraduate 4-year,Arkansas,South,42,Psychology,3474,3913,12.6,3880,-0.8,3832,-1.2,3942,2.9,3995,1.3
Undergraduate 4-year,Arkansas,South,43,Security and Protective Services,1770,1609,-9.1,1352,-16.0,1447,7.0,1559,7.8,1530,-1.9
Undergraduate 4-year,Arkansas,South,44,Public Administration and Social Service Professions,1167,1294,10.9,1022,-21.0,924,-9.6,953,3.1,909,-4.6
Undergraduate 4-year,Arkansas,South,45,Social Sciences,2531,2573,1.7,2422,-5.9,2140,-11.7,2148,0.4,2051,-4.5
Undergraduate 4-year,Arkansas,South,46,Construction Trades,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,47,Mechanic and Repair Technologies/Technicians,266,221,-17.2,202,-8.7,222,9.9,226,2.2,,
Undergraduate 4-year,Arkansas,South,48,Precision Production,,,,,,,,,,,
Undergraduate 4-year,Arkansas,South,49,Transportation and Materials Moving,,179,,167,-6.8,128,-23.0,,,,
Undergraduate 4-year,Arkansas,South,50,Visual and Performing Arts,3274,3173,-3.1,2819,-11.1,2444,-13.3,2679,9.6,2664,-0.6
Undergraduate 4-year,Arkansas,South,51,Health Professions and Related Clinical Sciences,10313,10329,0.2,10316,-0.1,10700,3.7,11304,5.7,11471,1.5
Undergraduate 4-year,Arkansas,South,52,Business Management Marketing and Related Support,14003,13872,-0.9,13565,-2.2,14538,7.2,15596,7.3,16313,4.6
Undergraduate 4-year,Arkansas,South,53,High School/Secondary Diplomas and Certificates,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Arkansas,South,54,History,735,680,-7.5,626,-7.9,591,-5.6,551,-6.7,554,0.4
Undergraduate 4-year,California,West,CIP Missing,CIP Missing,28913,31964,10.6,33512,4.8,31203,-6.9,28716,-8.0,30636,6.7
Undergraduate 4-year,California,West,01,Agriculture Agriculture Operations and Related Sciences,8170,8154,-0.2,8101,-0.6,8216,1.4,8259,0.5,8233,-0.3
Undergraduate 4-year,California,West,03,Natural Resources and Conservation,10107,9829,-2.7,10084,2.6,10468,3.8,10538,0.7,10240,-2.8
Undergraduate 4-year,California,West,04,Architecture and Related Services,5476,5760,5.2,5965,3.6,6052,1.5,6287,3.9,6210,-1.2
Undergraduate 4-year,California,West,05,Area Ethnic Cultural and Gender Studies,6200,5494,-11.4,5110,-7.0,4714,-7.7,4571,-3.0,4246,-7.1
Undergraduate 4-year,California,West,09,Communication Journalism and Related Programs,31730,30143,-5.0,28152,-6.6,27252,-3.2,27080,-0.6,27015,-0.2
Undergraduate 4-year,California,West,10,Communications Technologies/Technicians and Support Services,2556,2751,7.6,2856,3.8,2953,3.4,3118,5.6,3508,12.5
Undergraduate 4-year,California,West,11,Computer and Information Sciences and Support Services,38707,39024,0.8,40129,2.8,43097,7.4,45239,5.0,44712,-1.2
Undergraduate 4-year,California,West,12,Personal and Culinary Services,0,0,,0,,0,,0,,0,
Undergraduate 4-year,California,West,13,Education,29120,29740,2.1,28460,-4.3,25165,-11.6,24577,-2.3,24807,0.9
Undergraduate 4-year,California,West,14,Engineering,64508,62911,-2.5,63104,0.3,63218,0.2,64783,2.5,69983,8.0
Undergraduate 4-year,California,West,15,Engineering Technologies/Technicians,5296,5130,-3.1,4716,-8.1,4600,-2.5,4780,3.9,5059,5.8
Undergraduate 4-year,California,West,16,Foreign Languages Literatures and Linguistics,7261,7184,-1.1,6451,-10.2,5979,-7.3,5577,-6.7,5182,-7.1
Undergraduate 4-year,California,West,19,Family and Consumer Sciences/Human Sciences,12151,11404,-6.1,11184,-1.9,10294,-8.0,10225,-0.7,10241,0.2
Undergraduate 4-year,California,West,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,California,West,22,Legal Professions and Studies,1192,1183,-0.8,1242,5.0,1178,-5.1,1517,28.8,1937,27.6
Undergraduate 4-year,California,West,23,English Language and Literature/Letters,13926,13082,-6.1,12634,-3.4,12043,-4.7,11485,-4.6,11183,-2.6
Undergraduate 4-year,California,West,24,Liberal Arts and Sciences General Studies and Humanities,50932,45867,-9.9,44705,-2.5,42446,-5.1,40018,-5.7,38584,-3.6
Undergraduate 4-year,California,West,25,Library Science,0,0,,0,,0,,0,,0,
Undergraduate 4-year,California,West,26,Biological and Biomedical Sciences,68078,68068,-0.0,67861,-0.3,65302,-3.8,65183,-0.2,68809,5.6
Undergraduate 4-year,California,West,27,Mathematics and Statistics,16632,16821,1.1,16459,-2.2,15368,-6.6,14974,-2.6,15588,4.1
Undergraduate 4-year,California,West,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,California,West,29,Military Technologies,0,,,,,,,,,,
Undergraduate 4-year,California,West,30,Multi/Interdisciplinary Studies,32798,32007,-2.4,34091,6.5,33646,-1.3,35132,4.4,29359,-16.4
Undergraduate 4-year,California,West,31,Parks Recreation Leisure and Fitness Studies,22679,21921,-3.3,21122,-3.6,21011,-0.5,21187,0.8,21599,1.9
Undergraduate 4-year,California,West,32,Basic Skills,0,0,,0,,0,,0,,,
Undergraduate 4-year,California,West,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,California,West,34,Health-Related Knowledge and Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,California,West,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,California,West,36,Leisure and Recreational Activities,,,,,,,,,,,
Undergraduate 4-year,California,West,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,California,West,38,Philosophy and Religious Studies,4343,4096,-5.7,3929,-4.1,3738,-4.9,3638,-2.7,3792,4.2
Undergraduate 4-year,California,West,39,Theology and Religious Vocations,1439,1353,-6.0,1295,-4.3,1281,-1.1,1347,5.2,1491,10.7
Undergraduate 4-year,California,West,40,Physical Sciences,15049,14550,-3.3,14145,-2.8,13497,-4.6,12966,-3.9,13920,7.4
