state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
md,2019,102000,120000,114000,109000,94000,104000,88000,106000,114000,102000,100000,97000
md,2020,110000,83000,289000,202000,82000,81000,81000,74000,65000,78000,81000,72000
md,2021,75000,81000,64000,80000,86000,94000,92000,89000,99000,87000,95000,100000
md,2022,108000,127000,112000,108000,101000,110000,98000,121000,101000,125000,122000,126000
md,2023,107000,123000,119000,111000,117000,94000,103000,101000,118000,100000,87000,83000
md,2024,114000,90000,87000,91000,87000,74000,106000,87000,93000,81000,88000,114000
md,2025,79000,89000,85000,87000,82000,77000,90000,84000,,,,
mt,2018,22000,23000,24000,23000,21000,25000,22000,24000,21000,22000,21000,21000
mt,2019,23000,23000,22000,22000,25000,22000,25000,22000,29000,37000,25000,24000
mt,2020,24000,23000,56000,46000,14000,20000,22000,19000,20000,19000,25000,21000
mt,2021,23000,23000,25000,28000,26000,24000,27000,26000,30000,28000,28000,26000
mt,2022,28000,26000,28000,28000,28000,28000,26000,29000,28000,30000,31000,28000
mt,2023,26000,26000,27000,26000,26000,24000,24000,27000,27000,23000,27000,25000
mt,2024,26000,27000,25000,23000,33000,24000,25000,21000,21000,22000,20000,25000
mt,2025,27000,29000,28000,22000,25000,25000,26000,26000,,,,
mn,2018,90000,95000,92000,97000,96000,96000,93000,104000,82000,103000,108000,98000
mn,2019,92000,85000,86000,91000,84000,101000,106000,89000,91000,92000,92000,96000
mn,2020,105000,114000,351000,201000,80000,69000,84000,69000,63000,79000,106000,97000
mn,2021,76000,76000,80000,87000,78000,109000,103000,103000,99000,87000,110000,96000
mn,2022,99000,95000,99000,118000,104000,103000,98000,103000,108000,108000,103000,101000
mn,2023,104000,101000,102000,100000,105000,107000,112000,112000,112000,107000,105000,92000
mn,2024,95000,99000,93000,89000,88000,80000,90000,98000,91000,77000,70000,88000
mn,2025,103000,94000,83000,89000,89000,102000,101000,96000,,,,
tn,2018,135000,123000,140000,134000,141000,134000,151000,122000,140000,145000,146000,131000
tn,2019,128000,154000,126000,121000,98000,112000,114000,131000,110000,114000,111000,139000
tn,2020,140000,119000,265000,283000,110000,139000,131000,127000,134000,112000,133000,133000
tn,2021,157000,132000,158000,148000,146000,131000,132000,143000,151000,129000,149000,148000
tn,2022,154000,156000,154000,168000,146000,166000,157000,171000,155000,174000,152000,146000
tn,2023,138000,150000,173000,132000,158000,129000,129000,142000,135000,143000,121000,131000
tn,2024,121000,131000,124000,137000,140000,124000,138000,127000,136000,146000,146000,128000
tn,2025,152000,142000,116000,125000,109000,134000,125000,112000,,,,
nj,2018,113000,122000,138000,135000,147000,131000,124000,142000,119000,133000,117000,141000
nj,2019,144000,130000,158000,146000,134000,137000,142000,129000,149000,153000,173000,145000
nj,2020,159000,135000,605000,336000,155000,143000,129000,129000,138000,175000,184000,143000
nj,2021,137000,135000,114000,133000,144000,155000,145000,154000,118000,139000,168000,131000
nj,2022,163000,184000,167000,152000,151000,137000,156000,156000,152000,141000,132000,144000
nj,2023,189000,126000,140000,157000,128000,129000,140000,125000,120000,184000,142000,173000
nj,2024,135000,114000,140000,143000,138000,146000,158000,117000,132000,112000,127000,137000
nj,2025,144000,151000,144000,165000,127000,141000,136000,111000,,,,
ks,2018,50000,49000,59000,52000,54000,51000,49000,55000,56000,62000,58000,52000
ks,2019,47000,54000,52000,54000,54000,54000,55000,53000,51000,50000,56000,51000
