state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
Mississippi,MS,2023,True,All students total,All students total,91928,33220,58708,538,185,353,894,339,555,37817,12461,25356,2900,1141,1759,50,15,35,43719,16543,27176,2109,750,1359,3842,1751,2091,59,35,24,510,0,00011660014300310001460230000000000000000,91418
Mississippi,MS,2024,False,Undergraduate total,Undergraduate,81483,33729,47754,370,157,213,1239,580,659,24918,8867,16051,3194,1407,1787,73,32,41,47044,20466,26578,1919,795,1124,1222,560,662,1504,865,639,46,0,00000000000.0000046,80920
Mississippi,MS,2024,True,All students total,All students total,92785,34263,58522,583,210,373,970,380,590,38706,13266,25440,3264,1316,1948,60,20,40,43793,16916,26877,2317,901,1416,3001,1201,1800,91,53,38,768,0,000.1780015600330.03700310000000000000000,86294
Missouri,MO,2020,False,Undergraduate total,Undergraduate,282480,121272,161208,1304,522,782,8968,4035,4933,34031,13118,20913,16617,7286,9331,553,271,282,190932,82016,108916,10912,4544,6368,10614,4649,5965,8549,4831,3718,0,0,0,0
Missouri,MO,2020,True,All students total,All students total,79169,29785,49384,378,136,242,1420,583,837,7299,2383,4916,5251,2148,3103,148,52,96,58709,21946,36763,3227,1306,1921,2297,996,1301,440,235,205,0,0,0,0
Missouri,MO,2021,False,Undergraduate total,Undergraduate,268282,113222,155060,1210,487,723,9052,3955,5097,31405,11723,19682,16973,7234,9739,547,256,291,182589,77334,105255,10899,4503,6396,9409,4159,5250,6198,3571,2627,0,0,0,0
Missouri,MO,2021,True,All students total,All students total,74614,27511,47103,371,129,242,1243,492,751,6774,2150,4624,4892,1957,2935,142,53,89,55303,20327,34976,3071,1172,1899,2377,1000,1377,441,231,210,0,0,0,0
Missouri,MO,2022,False,Undergraduate total,Undergraduate,257363,108568,148795,1152,474,678,9410,4074,5336,29611,11096,18515,17229,7334,9895,497,228,269,173348,73524,99824,10650,4326,6324,9097,3939,5158,6369,3573,2796,1338,67,1405.0,0
Missouri,MO,2022,True,All students total,All students total,72273,27016,45257,350,131,219,1177,462,715,7009,2227,4782,5326,2120,3206,146,44,102,52300,19468,32832,3009,1169,1840,2456,1130,1326,500,265,235,51,0,51.0,0
Missouri,MO,2023,False,Undergraduate total,Undergraduate,250004,105489,144515,1200,476,724,9263,4045,5218,28457,10654,17803,16901,7081,9820,440,219,221,163868,69669,94199,10569,4317,6252,12703,5388,7315,6603,3640,2963,1157,64,0130008.39800000190007000310000.06217531500510270203544300..32040033000.010000,229890
Missouri,MO,2023,True,All students total,All students total,70969,27059,43910,352,151,201,1188,469,719,6721,2152,4569,5478,2217,3261,133,51,82,51276,19529,31747,2979,1145,1834,2308,1034,1274,534,311,223,97,52,0003200000000.65005200000000000000000000000000.000000000000000.0000,67866
Missouri,MO,2024,False,Undergraduate total,Undergraduate,250318,106275,144043,1216,507,709,9411,4106,5305,29226,11103,18123,17827,7459,10368,469,236,233,162862,69344,93518,10995,4532,6463,11090,4967,6123,7222,4021,3201,1705,120,0180000251715700000.000.00.000020.121826017200660.0.530372025.32.121052000.050000,209818
Missouri,MO,2024,True,All students total,All students total,72414,27947,44467,361,150,211,1292,497,795,6982,2417,4565,5613,2237,3376,163,63,100,51759,19931,31828,3239,1280,1959,2324,1023,1301,681,349,332,241,110,000500000000.221500067330140.000000.000000000000.000000000000000000000,69022
Montana,MT,2020,False,Undergraduate total,Undergraduate,41328,19122,22206,3168,1222,1946,419,155,264,365,232,133,1928,904,1024,90,52,38,30919,14291,16628,1857,908,949,1714,771,943,868,587,281,0,0,0,0
Montana,MT,2020,True,All students total,All students total,12561,4857,7704,1491,618,873,125,48,77,125,74,51,383,133,250,20,12,8,8992,3341,5651,427,142,285,928,443,485,70,46,24,0,0,0,0
Montana,MT,2021,False,Undergraduate total,Undergraduate,38992,17733,21259,3049,1084,1965,419,157,262,389,273,116,1944,868,1076,68,37,31,29499,13547,15952,1771,795,976,1317,587,730,536,385,151,0,0,0,0
Montana,MT,2021,True,All students total,All students total,11418,4362,7056,1603,526,1077,105,32,73,178,114,64,419,169,250,26,8,18,8021,3048,4973,377,126,251,644,312,332,45,27,18,0,0,0,0
Montana,MT,2022,False,Undergraduate total,Undergraduate,39411,18091,21320,2848,974,1874,417,166,251,366,236,130,2017,903,1114,80,37,43,30006,14041,15965,1983,876,1107,1156,525,631,538,333,205,165,2,167.0,0
Montana,MT,2022,True,All students total,All students total,11757,4434,7323,1750,591,1159,108,35,73,111,68,43,394,157,237,26,5,21,8267,3104,5163,377,134,243,647,301,346,77,39,38,94,0,94.0,0
Montana,MT,2023,False,Undergraduate total,Undergraduate,39941,18375,21566,2898,969,1929,454,190,264,341,234,107,2176,969,1207,63,36,27,29808,14005,15803,2448,1130,1318,1219,544,675,534,298,236,149,0,001000139702..00,37194
Montana,MT,2023,True,All students total,All students total,12092,4467,7625,1877,623,1254,108,36,72,107,64,43,412,144,268,27,7,20,8357,3097,5260,445,151,294,695,309,386,64,36,28,166,0,0.0116.130280.100044,10981
Montana,MT,2024,False,Undergraduate total,Undergraduate,39887,18535,21352,2695,969,1726,436,182,254,325,220,105,2299,1024,1275,56,27,29,29768,14098,15670,2798,1293,1505,1050,476,574,460,246,214,158,0,004001147.00..00,27746
Montana,MT,2024,True,All students total,All students total,12438,4654,7784,1692,551,1141,106,32,74,88,47,41,473,174,299,25,7,18,8600,3229,5371,528,194,334,850,388,462,76,32,44,149,0,001.200.00440190117,8926
Nebraska,NE,2020,False,Undergraduate total,Undergraduate,89130,39042,50088,735,259,476,2805,1263,1542,4848,2144,2704,9122,3807,5315,163,66,97,60936,26346,34590,3005,1245,1760,3568,1478,2090,3948,2434,1514,0,0,0,0
Nebraska,NE,2020,True,All students total,All students total,58425,25195,33230,551,205,346,1690,801,889,3465,1493,1972,8138,3214,4924,91,37,54,38985,16801,22184,1658,639,1019,3508,1819,1689,339,186,153,0,0,0,0
Nebraska,NE,2021,False,Undergraduate total,Undergraduate,85379,37355,48024,767,299,468,2716,1208,1508,4907,2294,2613,9604,4013,5591,171,65,106,57559,24773,32786,2902,1177,1725,4126,1927,2199,2627,1599,1028,0,0,0,0
Nebraska,NE,2021,True,All students total,All students total,56041,23936,32105,469,170,299,1438,622,816,3204,1291,1913,7925,3160,4765,77,28,49,37638,16144,21494,1675,617,1058,3287,1727,1560,328,177,151,0,0,0,0
Nebraska,NE,2022,False,Undergraduate total,Undergraduate,85166,36687,48479,1001,338,663,2857,1244,1613,5576,2443,3133,10245,4326,5919,145,55,90,57158,24371,32787,3291,1353,1938,2482,1157,1325,2411,1400,1011,750,44,794.0,0
Nebraska,NE,2022,True,All students total,All students total,56591,24627,31964,540,207,333,1328,579,749,3158,1296,1862,8427,3456,4971,78,29,49,37701,16438,21263,1780,678,1102,3297,1800,1497,282,144,138,6,2,8.0,0
Nebraska,NE,2023,False,Undergraduate total,Undergraduate,84894,36656,48238,989,355,634,2902,1288,1614,5874,2602,3272,10855,4549,6306,136,52,84,56042,23945,32097,3143,1322,1821,2671,1242,1429,2282,1301,981,517,156,5600100510.0.0...0043000070,62355
Nebraska,NE,2023,True,All students total,All students total,58680,26022,32658,575,211,364,1358,598,760,3343,1434,1909,9442,3919,5523,88,39,49,37588,16699,20889,2053,808,1245,3859,2093,1766,374,221,153,145,0,0001350040600.0.00,58182
Nebraska,NE,2024,False,Undergraduate total,Undergraduate,85123,37022,48101,1100,399,701,3019,1331,1688,5765,2567,3198,10979,4644,6335,133,57,76,54743,23536,31207,3342,1413,1929,3758,1812,1946,2284,1263,1021,332,200,379320080000..820..038100..0,71754
Nebraska,NE,2024,True,All students total,All students total,61618,27442,34176,612,239,373,1513,669,844,3968,1707,2261,10204,4260,5944,82,36,46,38619,17160,21459,2248,903,1345,3925,2209,1716,447,259,188,109,27,100121000090050000,61482
Nevada,NV,2020,False,Undergraduate total,Undergraduate,132180,55701,76479,907,369,538,13663,5786,7877,10336,3960,6376,39466,15730,23736,1266,556,710,50005,22241,27764,9379,3930,5449,5610,2459,3151,1548,670,878,0,0,0,0
