"unitid","institution name","year","HD2024.FIPS state code","HD2024.Degree-granting status","HD2024.Institution size category","HD2024.State abbreviation","HD2024.FIPS state code","HD2024.Bureau of Economic Analysis (BEA) regions","HD2024.Sector of institution","HD2024.Degree of urbanization (Urban-centric locale)","HD2024.Institutional category","HD2024.Carnegie Classification 2021: Basic","DRVC2024.Certificates of less than 1 year","DRVC2024.Certificate of less than 12 weeks","DRVC2024.Certificate of at least 12 weeks, but less than 1 year","DRVC2024.Certificates of 1 but less than 2 years","DRVC2024.Certificates of 2 but less than 4 years","DRVC2024.Number of students receiving certificates of less than 12 weeks","DRVC2024.Number of students receiving certificates of at least 12 weeks, but less than 1 year","DRVC2024.Number of students receiving a certificate of 1 but less than 4 years"
"146454","Educators of Beauty College of Cosmetology-Peru","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","27","0","0","0","27"
"146807","Steven Papageorge Hair Academy","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","17","0","0","0","17"
"147642","Cosmetology Concepts Niles","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","42","0","0","0","42"
"147819","Oehrlein School of Cosmetology","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","28","0","0","0","28"
"148098","Professional's Choice Hair Design Academy","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","27","0","0","0","27"
"148955","National Latino Education Institute","2024","Illinois","Nondegree-granting, primarily postsecondary","Not reported","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private not-for-profit, less-than 2-year","City: Large","Not reported","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,
"149204","Educators of Beauty College of Cosmetology-Sterling","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","32","0","0","0","32"
"149550","University of Spa & Cosmetology Arts","2024","Illinois","Nondegree-granting, primarily postsecondary","Under 1,000","Illinois","Illinois","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","67","0","67","22","0","0","67","22"
"150303","Tricoci University of Beauty Culture-Highland","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","171","0","171","64","0","0","171","64"
"150428","Don Roberts School of Hair Design","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","2","0","2","14","0","0","2","14"
"150765","J Michael Harrold Beauty Academy","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","51","0","51","38","0","0","51","38"
"150853","PJ's College of Cosmetology-Clarksville","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","57","0","57","69","0","0","57","69"
"151564","Taylor Institute of Cosmetology II","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Rural: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","18","0","0","0","18"
"151607","Tricoci University of Beauty Culture-Lafayette","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","47","0","47","24","0","0","47","24"
"152044","West Michigan College of Barbering and Beauty","2024","Michigan","Nondegree-granting, primarily postsecondary","Under 1,000","Michigan","Michigan","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","1","0","1","13","12","0","1","25"
"152150","PJ's College of Cosmetology-Richmond","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","21","0","21","14","0","0","21","14"
"152275","Ravenscroft Beauty College","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","33","0","33","27","0","0","33","27"
"152309","Rogers Academy of Hair Design","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","60","0","0","0","60"
"152497","Saint Elizabeth School of Nursing","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private not-for-profit, 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","0","54","0","0","54"
"152628","Vincennes Beauty College","2024","Indiana","Nondegree-granting, primarily postsecondary","Under 1,000","Indiana","Indiana","Great Lakes (IL, IN, MI, OH, WI)","Private for-profit, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","16","0","0","0","16"
"153074","Capri College-Dubuque","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","59","0","59","1","61","0","59","62"
"153083","Capri College-Cedar Rapids","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","31","0","31","1","49","0","31","50"
"153463","American Hair Academy","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","0","7","0","0","7"
"153542","UnityPoint Health-Des Moines School of Radiologic Technology","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private not-for-profit, 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","0","7","0","0","7"
"153597","Iowa School of Beauty-Des Moines","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","52","0","52","12","8","0","52","8"
"153746","La James International College-Cedar Falls","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","25","0","25","6","0","0","25","6"
"153764","La James International College-Johnston","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","66","0","66","9","16","0","66","25"
"153773","La James College of Hairstyling and Cosmetology","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","35","0","35","0","12","0","35","12"
"153782","La James International College-Ft Dodge","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","16","0","16","0","3","0","16","3"
"154208","PCI Academy-Ames","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","78","0","78","0","43","0","78","43"
"154332","La James International College-Davenport","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","91","0","91","13","0","0","91","13"
"154448","Capri College-Davenport","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","55","0","55","0","56","0","55","56"
"154457","Iowa School of Beauty-Sioux City","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","24","2","0","0","26"
"154466","SOHO Hair Academy","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","0","13","0","0","13"
"154545","The Salon Professional Academy-Cedar Falls","2024","Iowa","Nondegree-granting, primarily postsecondary","Under 1,000","Iowa","Iowa","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","23","0","0","0","23"
"155159","Hays Academy of Hair Design","2024","Kansas","Nondegree-granting, primarily postsecondary","Under 1,000","Kansas","Kansas","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","16","0","16","42","0","0","16","42"
"155353","Old Town Barber College-Wichita","2024","Kansas","Nondegree-granting, primarily postsecondary","Under 1,000","Kansas","Kansas","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","44","0","0","0","44"
"155423","Washburn Institute of Technology","2024","Kansas","Nondegree-granting, primarily postsecondary","1,000 - 4,999","Kansas","Kansas","Plains (IA, KS, MN, MO, NE, ND, SD)","Public, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","547","182","365","357","0","174","363","357"
"156134","Wichita Technical Institute","2024","Kansas","Nondegree-granting, primarily postsecondary","Under 1,000","Kansas","Kansas","Plains (IA, KS, MN, MO, NE, ND, SD)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Special Focus Two-Year: Technical Professions","60","0","60","565","0","0","60","565"
"156310","PJ's College of Cosmetology-Bowling Green","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","128","0","128","74","0","0","128","74"
"156426","Paul Mitchell the School-Lexington","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","4","0","4","67","0","0","4","67"
"156754","PJ's College of Cosmetology-Glasgow","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","9","0","9","10","0","0","9","10"
"156842","Paul Mitchell the School-Louisville","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","28","0","28","105","0","0","28","105"
"156967","Summit Salon Academy-Lexington","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","92","0","92","43","0","0","75","43"
"157614","Empire Beauty School-Chenoweth","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","44","0","0","0","44"
"157650","Empire Beauty School-Elizabethtown","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","35","0","35","42","0","0","35","42"
"157669","Empire Beauty School-Dixie","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","37","0","0","0","37"
"157678","Empire Beauty School-Florence","2024","Kentucky","Nondegree-granting, primarily postsecondary","Under 1,000","Kentucky","Kentucky","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","2","0","2","65","0","0","2","65"
"158246","Ayers Career College","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","122","0","0","0","122"
"158325","Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private not-for-profit, 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","65","10","0","0","75"
"158538","Cloyd's Beauty School 1 Inc","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","9","0","9","22","0","0","9","22"
"158617","Crescent City Bartending School","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","590","0","590","0","0","0","590","0"
"158778","Avery James College","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","11","0","11","20","0","0","11","20"
"158787","Denham Springs Beauty School","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","26","0","0","0","26"
"159027","Belbo Beauty Institute","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","9","0","9","59","0","0","9","59"
"159328","John Jay Beauty College","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","50","0","50","50","0","0","50","50"
"159513","Aveda Arts & Sciences Institute-Baton Rouge","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","113","0","0","0","113"
"159522","Aveda Arts & Sciences Institute-Lafayette","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","61","0","61","38","0","0","61","38"
"159531","Louisiana Academy of Beauty","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","19","0","0","0","19"
"159601","Opelousas School of Cosmetology","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","1","0","1","17","0","0","1","17"
"160117","Pat Goins Beauty Schools formerly Paul Mitchell the School-Shreveport","2024","Louisiana","Nondegree-granting, primarily postsecondary","Not reported","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Not reported","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,
"160126","Celebrity Stylist Beauty School","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","12","0","12","5","0","0","12","5"
"160199","Pineville Beauty School","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","5","4","1","18","0","4","1","18"
"160320","Aveda Arts & Sciences Institute-Covington","2024","Louisiana","Nondegree-granting, primarily postsecondary","1,000 - 4,999","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","1037","0","1037","904","0","0","1037","904"
"160472","LaSalle Tech","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","77","19","58","27","0","19","58","27"
"160597","Stevensons Academy of Hair Design","2024","Louisiana","Nondegree-granting, primarily postsecondary","Under 1,000","Louisiana","Louisiana","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","3","0","3","15","0","0","3","15"
"161493","Empire Beauty School-Maine","2024","Maine","Nondegree-granting, primarily postsecondary","Under 1,000","Maine","Maine","New England (CT, ME, MA, NH, RI, VT)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","2","0","2","42","0","0","2","42"
"161527","Spa Tech Institute-Westbrook","2024","Maine","Nondegree-granting, primarily postsecondary","Under 1,000","Maine","Maine","New England (CT, ME, MA, NH, RI, VT)","Private for-profit, less-than 2-year","Suburb: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","214","15","199","34","0","15","199","34"
"161800","Award Beauty School","2024","Maryland","Nondegree-granting, primarily postsecondary","Under 1,000","Maryland","Maryland","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","40","0","0","0","40"
"161855","Baltimore Studio of Hair Design","2024","Maryland","Nondegree-granting, primarily postsecondary","Under 1,000","Maryland","Maryland","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","31","0","0","0","31"
"162335","Del-Mar-Va Beauty Academy","2024","Maryland","Nondegree-granting, primarily postsecondary","Under 1,000","Maryland","Maryland","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","23","0","0","0","23"
"162371","North American Trade Schools","2024","Maryland","Nondegree-granting, primarily postsecondary","Under 1,000","Maryland","Maryland","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","288","29","259","219","0","29","259","219"
"162830","Aveda Institute-Maryland","2024","Maryland","Nondegree-granting, primarily postsecondary","Under 1,000","Maryland","Maryland","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","Suburb: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","73","0","73","33","0","0","73","33"
"163347","Fortis Institute-Towson","2024","Maryland","Nondegree-granting, primarily postsecondary","Under 1,000","Maryland","Maryland","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","85","0","85","157","0","0","85","157"
"163408","Montgomery Beauty School","2024","Maryland","Nondegree-granting, primarily postsecondary","Under 1,000","Maryland","Maryland","Mid East (DE, DC, MD, NJ, NY, PA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","35","0","0","0","35"
