Federal Student Loan Portfolio by Borrower Location and Debt Size,,,,,,,,,,,,,,,,,,,
Includes outstanding principal and interest balances,,,,,,,,,,,,,,,,,,,
Data Source: Enterprise Data Warehouse,,,,,,,,,,,,,,,,,,,
"Data as of June 30, 2025",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,<5K,,5K to 10K,,10K to 20K,,20K to 40K,,40K to 60K,,60K to 80K,,80K to 100K,,100K to 200K,,200K+,,
Location,Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),
Missouri,$0.32 ,115.5,$0.97 ,133.8,$2.44 ,168.4,$5.22 ,183.2,$4.09 ,83.2,$3.49 ,50.7,$2.44 ,27.4,$6.13 ,44.7,$5.06 ,17.3,
Montana,$0.05 ,19.7,$0.15 ,21.3,$0.37 ,25.5,$0.78 ,27.4,$0.62 ,12.6,$0.51 ,7.5,$0.33 ,3.8,$0.88 ,6.4,$0.74 ,2.5,
Nebraska,$0.11 ,40.6,$0.30 ,42.1,$0.73 ,50.1,$1.54 ,54.3,$1.07 ,21.8,$0.85 ,12.4,$0.58 ,6.5,$1.57 ,11.4,$1.42 ,4.9,
Nevada,$0.17 ,61.2,$0.52 ,70.8,$1.07 ,75.2,$1.97 ,69.0,$1.56 ,31.6,$1.30 ,19.0,$0.90 ,10.0,$2.52 ,18.2,$2.91 ,9.3,
New Hampshire,$0.07 ,25.0,$0.21 ,30.0,$0.58 ,39.8,$1.32 ,47.1,$0.85 ,17.4,$0.69 ,10.0,$0.48 ,5.4,$1.36 ,9.9,$1.25 ,4.2,
New Jersey,$0.43 ,153.4,$1.49 ,208.2,$3.90 ,268.1,$7.92 ,282.4,$5.28 ,107.7,$4.36 ,63.3,$3.30 ,37.0,$9.90 ,71.4,$10.86 ,35.2,
New Mexico,$0.11 ,38.6,$0.28 ,38.8,$0.67 ,46.1,$1.26 ,44.0,$1.04 ,21.2,$0.91 ,13.2,$0.66 ,7.4,$1.72 ,12.6,$1.28 ,4.3,
New York,$0.92 ,332.0,$2.86 ,400.3,$7.30 ,501.7,$15.66 ,554.8,$11.06 ,225.9,$9.03 ,130.9,$6.90 ,77.4,$21.20 ,152.5,$23.18 ,75.6,
North Carolina,$0.48 ,168.4,$1.47 ,205.4,$3.92 ,269.2,$9.07 ,317.9,$7.15 ,145.6,$6.12 ,89.0,$4.25 ,47.7,$12.16 ,87.5,$9.83 ,34.2,
North Dakota,$0.04 ,14.2,$0.11 ,15.8,$0.27 ,18.6,$0.57 ,20.4,$0.39 ,7.9,$0.32 ,4.7,$0.21 ,2.3,$0.41 ,3.0,$0.33 ,1.1,
Ohio,$0.70 ,251.8,$2.02 ,279.4,$5.17 ,355.3,$11.34 ,398.5,$8.92 ,181.4,$7.87 ,114.1,$5.47 ,61.5,$12.31 ,90.3,$9.62 ,32.9,
Oklahoma,$0.23 ,81.8,$0.64 ,89.1,$1.54 ,106.2,$3.00 ,105.7,$2.36 ,48.1,$1.96 ,28.5,$1.34 ,15.0,$3.30 ,24.1,$2.38 ,8.2,
Oregon,$0.21 ,77.4,$0.59 ,81.9,$1.50 ,103.0,$3.33 ,116.4,$2.72 ,55.4,$2.28 ,33.2,$1.52 ,17.1,$4.05 ,29.3,$4.35 ,14.4,
Pennsylvania,$0.64 ,229.4,$2.09 ,292.8,$5.76 ,394.8,$12.63 ,448.6,$8.45 ,172.4,$7.13 ,103.5,$5.09 ,57.1,$13.85 ,100.5,$12.91 ,43.1,
Puerto Rico,$0.22 ,79.5,$0.45 ,61.9,$0.94 ,65.9,$1.59 ,56.6,$1.12 ,23.0,$0.81 ,11.8,$0.63 ,7.1,$2.47 ,17.5,$2.83 ,9.5,
Rhode Island,$0.06 ,21.3,$0.19 ,26.2,$0.47 ,32.5,$0.97 ,34.6,$0.63 ,12.9,$0.48 ,7.0,$0.34 ,3.9,$0.96 ,7.0,$0.97 ,3.2,
South Carolina,$0.28 ,98.2,$0.85 ,118.5,$2.19 ,150.2,$4.96 ,173.6,$4.10 ,83.3,$3.64 ,53.0,$2.50 ,28.1,$6.59 ,47.6,$5.52 ,19.2,
