Federal Student Loan Portfolio by Borrower Debt Size,,,,,,,,,,,,,,,,,,,,,
Includes outstanding principal and interest balances,,,,,,,,,,,,,,,,,,,,,
Data Source: Enterprise Data Warehouse,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Less than 5K,,5K to 10K,,10K to 20K,,20K to 40K,,40K to 60K,,60K to 80K,,80K-100K,,100K to 200K,,200K+,,,
Federal Fiscal Year,,Dollars Outstanding           (in billions),Borrowers     (in millions),Dollars Outstanding            (in billions),Borrowers     (in millions),Dollars Outstanding           (in billions),Borrowers     (in millions),Dollars Outstanding            (in billions),Borrowers     (in millions),Dollars Outstanding           (in billions),Borrowers     (in millions),Dollars Outstanding            (in billions),Borrowers     (in millions),Dollars Outstanding           (in billions),Borrowers     (in millions),Dollars Outstanding            (in billions),Borrowers     (in millions),Dollars Outstanding           (in billions),Borrowers     (in millions),,
2020,Q3,$19.4,7.4,$54.2,7.5,$134.1,9.3,$267.7,9.4,$203.1,4.1,$175.6,2.5,$122.3,1.4,$311.5,2.3,$257.6,0.9,,
2020,Q4,$20.7,7.9,$54.6,7.4,$133.1,9.2,$272.3,9.6,$205.8,4.2,$177.0,2.6,$123.2,1.4,$317.2,2.3,$263.1,0.9,,
2021,Q1,$21.2,8.0,$54.4,7.4,$132.6,9.1,$271.4,9.5,$205.7,4.2,$176.9,2.6,$123.1,1.4,$317.2,2.3,$263.9,0.9,,
2021,Q2,$19.4,7.3,$54.4,7.5,$136.4,9.4,$274.2,9.6,$208.7,4.3,$179.9,2.6,$125.3,1.4,$324.2,2.4,$271.3,0.9,,
2021,Q3,$19.1,7.2,$54.1,7.5,$135.8,9.4,$272.6,9.6,$208.3,4.2,$179.4,2.6,$125.1,1.4,$324.8,2.4,$272.5,0.9,,
2021,Q4,$20.6,7.7,$54.6,7.4,$134.1,9.2,$277.6,9.7,$210.8,4.3,$180.5,2.6,$126.1,1.4,$330.5,2.4,$277.2,0.9,,
2022,Q1,$20.9,7.8,$54.3,7.4,$132.9,9.2,$276.1,9.7,$210.0,4.3,$179.7,2.6,$125.4,1.4,$329.0,2.4,$276.5,0.9,,
2022,Q2,$18.9,7.1,$54.4,7.5,$135.5,9.3,$277.8,9.7,$211.8,4.3,$181.1,2.6,$126.6,1.4,$333.3,2.4,$281.9,1.0,,
2022,Q3,$18.8,7.0,$54.3,7.5,$135.0,9.3,$276.5,9.7,$211.3,4.3,$180.6,2.6,$126.3,1.4,$333.5,2.4,$283.2,1.0,,
2022,Q4,$20.4,7.6,$55.0,7.5,$134.0,9.2,$281.2,9.9,$213.4,4.3,$181.3,2.6,$126.7,1.4,$338.0,2.4,$287.3,1.0,,
2023,Q1,$20.9,7.8,$55.4,7.5,$134.5,9.3,$281.6,9.9,$213.3,4.3,$180.6,2.6,$126.3,1.4,$336.9,2.4,$287.5,1.0,,
2023,Q2,$19.1,7.0,$56.1,7.8,$138.0,9.5,$283.4,10.0,$214.1,4.4,$180.3,2.6,$126.5,1.4,$338.5,2.5,$290.9,1.0,,
2023,Q3,$18.9,7.0,$56.1,7.8,$137.9,9.5,$282.5,9.9,$213.2,4.3,$178.6,2.6,$125.0,1.4,$335.3,2.4,$289.1,1.0,,
2023,Q4,$20.1,7.4,$55.9,7.6,$134.6,9.3,$281.5,9.9,$210.0,4.3,$173.7,2.5,$120.2,1.4,$326.5,2.4,$281.7,1.0,,
2024,Q1,$20.6,7.6,$55.7,7.5,$133.5,9.2,$278.3,9.8,$208.5,4.2,$173.0,2.5,$120.2,1.3,$325.8,2.4,$285.6,1.0,,
2024,Q2,$18.7,6.8,$55.4,7.7,$135.9,9.3,$278.2,9.8,$209.5,4.3,$174.7,2.5,$122.6,1.4,$331.9,2.4,$297.0,1.0,,
2024,Q3,$18.5,6.7,$54.7,7.6,$132.9,9.1,$274.4,9.7,$207.3,4.2,$173.2,2.5,$122.1,1.4,$331.7,2.4,$300.9,1.0,,
2024,Q4,$19.8,7.2,$54.8,7.4,$131.8,9.1,$276.8,9.7,$208.5,4.2,$174.4,2.5,$123.3,1.4,$339.0,2.5,$313.5,1.1,,
2025,Q1,$20.4,7.5,$54.4,7.4,$131.5,9.1,$274.8,9.7,$207.5,4.2,$174.2,2.5,$123.3,1.4,$339.0,2.5,$317.7,1.1,,
2025,Q2,$18.5,6.8,$54.1,7.5,$133.6,9.2,$276.1,9.7,$208.2,4.2,$175.4,2.5,$125.1,1.4,$344.2,2.5,$329.3,1.1,,
