"Nonpayment Rates for Private, Nonprofit Institutions",,,,,
,,,,,
OPE ID,School Name,School Type,State,Total Borrowers Evaluated,Nonpayment Rate
002039,Colby College,"PRIVATE, NONPROFIT",ME,600,4%
021633,Universidad Central del Caribe,"PRIVATE, NONPROFIT",PR,800,4%
002340,Carleton College,"PRIVATE, NONPROFIT",MN,800,4%
003065,Kenyon College,"PRIVATE, NONPROFIT",OH,900,4%
007026,Icahn School of Medicine at Mount Sinai,"PRIVATE, NONPROFIT",NY,900,4%
002224,Wellesley College,"PRIVATE, NONPROFIT",MA,1000,4%
022285,Life Chiropractic College West,"PRIVATE, NONPROFIT",CA,1100,4%
001732,National University of Health Sciences (The),"PRIVATE, NONPROFIT",IL,1100,4%
001200,Fuller Theological Seminary,"PRIVATE, NONPROFIT",CA,1200,4%
042509,Inter American University of Puerto Rico - School of Law,"PRIVATE, NONPROFIT",PR,1300,4%
002895,Vassar College,"PRIVATE, NONPROFIT",NY,1500,4%
021206,Saybrook University,"PRIVATE, NONPROFIT",CA,1500,4%
004977,South Texas College of Law Houston,"PRIVATE, NONPROFIT",TX,2000,4%
003691,Middlebury College,"PRIVATE, NONPROFIT",VT,2000,4%
010365,Charles R. Drew University of Medicine and Science,"PRIVATE, NONPROFIT",CA,2200,4%
001229,Southern California University of Health Sciences,"PRIVATE, NONPROFIT",CA,2200,4%
002209,Smith College,"PRIVATE, NONPROFIT",MA,2200,4%
020681,Adler University,"PRIVATE, NONPROFIT",IL,2500,4%
003744,University of Richmond,"PRIVATE, NONPROFIT",VA,2800,4%
002573,Dartmouth College,"PRIVATE, NONPROFIT",NH,2800,4%
003401,Brown University,"PRIVATE, NONPROFIT",RI,3500,4%
003197,Lewis & Clark College,"PRIVATE, NONPROFIT",OR,3700,4%
002233,Worcester Polytechnic Institute,"PRIVATE, NONPROFIT",MA,3900,4%
003979,"Teachers College, Columbia University","PRIVATE, NONPROFIT",NY,4300,4%
002803,Rensselaer Polytechnic Institute,"PRIVATE, NONPROFIT",NY,4800,4%
003212,Pacific University,"PRIVATE, NONPROFIT",OR,6100,4%
002978,Wake Forest University,"PRIVATE, NONPROFIT",NC,6300,4%
002520,Washington University in St. Louis,"PRIVATE, NONPROFIT",MO,6700,4%
003388,Villanova University,"PRIVATE, NONPROFIT",PA,7300,4%
002542,Creighton University,"PRIVATE, NONPROFIT",NE,9800,4%
002128,Boston College,"PRIVATE, NONPROFIT",MA,9900,4%
002711,Cornell University,"PRIVATE, NONPROFIT",NY,10800,4%
010149,Pepperdine University,"PRIVATE, NONPROFIT",CA,14500,4%
002077,Johns Hopkins University,"PRIVATE, NONPROFIT",MD,16700,4%
002707,Columbia University in the City of New York,"PRIVATE, NONPROFIT",NY,19100,4%
002130,Boston University,"PRIVATE, NONPROFIT",MA,22100,4%
001444,George Washington University,"PRIVATE, NONPROFIT",DC,23300,4%
001328,University of Southern California,"PRIVATE, NONPROFIT",CA,38600,4%
030982,Yo San University of Traditional Chinese Medicine,"PRIVATE, NONPROFIT",CA,200,5%
001354,Iliff School of Theology,"PRIVATE, NONPROFIT",CO,200,5%
004054,Hebrew Union College - Jewish Institute of Religion,"PRIVATE, NONPROFIT",NY,200,5%
002248,Cranbrook Academy of Art,"PRIVATE, NONPROFIT",MI,200,5%
007178,Western Seminary,"PRIVATE, NONPROFIT",OR,300,5%
033554,Richmont Graduate University,"PRIVATE, NONPROFIT",TN,300,5%
038724,Divine Mercy University,"PRIVATE, NONPROFIT",VA,400,5%
001170,Claremont McKenna College,"PRIVATE, NONPROFIT",CA,400,5%
002627,Princeton University,"PRIVATE, NONPROFIT",NJ,400,5%
