Nonpayment Rates by Institution,,,,,
,,,,,
OPE ID,School Name,School Type,State,Total Borrowers Evaluated,Nonpayment Rate
006839,University of Edinburgh,FOREIGN,FC,2000,3%
001169,Claremont Graduate University,"PRIVATE, NONPROFIT",CA,2100,3%
003506,Meharry Medical College,"PRIVATE, NONPROFIT",TN,2200,3%
008147,Universidad Autonoma de Guadalajara,FOREIGN,FC,2300,3%
003604,William Marsh Rice University,"PRIVATE, NONPROFIT",TX,2300,3%
022444,American University of the Caribbean,FOREIGN,FC,2900,3%
001305,Stanford University,"PRIVATE, NONPROFIT",CA,3300,3%
007012,Samuel Merritt University,"PRIVATE, NONPROFIT",CA,4100,3%
003659,University of Texas Health Science Center at San Antonio,PUBLIC,TX,4400,3%
003242,Carnegie Mellon University,"PRIVATE, NONPROFIT",PA,4900,3%
001426,Yale University,"PRIVATE, NONPROFIT",CT,5500,3%
022460,"Ross University, School of Medicine",FOREIGN,FC,5500,3%
001840,University of Notre Dame,"PRIVATE, NONPROFIT",IN,6000,3%
001774,University of Chicago (The),"PRIVATE, NONPROFIT",IL,6600,3%
001218,Loma Linda University,"PRIVATE, NONPROFIT",CA,6900,3%
003535,Vanderbilt University,"PRIVATE, NONPROFIT",TN,7900,3%
002155,Harvard University,"PRIVATE, NONPROFIT",MA,8100,3%
002104,"University of Maryland, Baltimore",PUBLIC,MD,9000,3%
003024,Case Western Reserve University,"PRIVATE, NONPROFIT",OH,9100,3%
002920,Duke University,"PRIVATE, NONPROFIT",NC,9900,3%
001564,Emory University,"PRIVATE, NONPROFIT",GA,11500,3%
003378,University of Pennsylvania,"PRIVATE, NONPROFIT",PA,12600,3%
001739,Northwestern University,"PRIVATE, NONPROFIT",IL,13200,3%
001445,Georgetown University,"PRIVATE, NONPROFIT",DC,16800,3%
033743,Florida Coastal School of Law,PROPRIETARY,FL,300,4%
022736,Queen's University of Belfast (The),FOREIGN,FC,300,4%
008665,University of Kent,FOREIGN,FC,300,4%
012766,"National University of Ireland, Galway",FOREIGN,FC,300,4%
012136,University of Manchester (The),FOREIGN,FC,300,4%
